id,nome,descricao,categoria_id,preco,marca,estoque,data_cadastro
6116,Dignissimos,Reprehenderit inventore praesentium quaerat quasi.,6,697.48,Marca C,924,2020-02-01
6889,Commodi,Sapiente modi totam eos.,4,822.92,Marca B,337,2020-02-08
38574,Nemo,Unde et explicabo accusantium labore.,1,792.98,Marca D,535,2020-10-05
31427,Veniam,Esse fugiat provident cumque voluptatum sint.,1,971.62,Marca A,560,2021-01-07
12577,Placeat,Corporis itaque facere dolorum minima ipsa.,6,121.23,Marca D,727,2023-07-31
25393,Cupiditate,Necessitatibus ad assumenda molestiae mollitia.,7,669.18,Marca A,572,2024-01-25
52528,Occaecati,Numquam corporis et corporis perferendis.,3,294.92,Marca B,150,2023-07-05
37884,A,Non ab eaque deleniti aliquam sit deserunt.,4,286.83,Marca D,594,2022-10-02
94997,Ex,Dolor tempora nisi dolor quam pariatur et.,3,137.6,Marca C,35,2021-04-13
97620,Quas,Rerum delectus magnam dolor voluptatum.,4,617.77,Marca C,907,2023-09-23
38301,Deleniti,Sint ipsam accusantium.,7,583.57,Marca C,161,2020-06-21
67557,A,Nulla voluptatum quos magni totam consequatur aspernatur.,7,176.84,Marca A,543,2024-05-17
62637,Beatae,Eius ipsa labore iste mollitia veniam eaque.,3,337.15,Marca C,447,2022-08-20
92284,Corporis,Tenetur dignissimos sed officiis.,3,315.59,Marca A,105,2024-04-12
88272,Explicabo,Nemo perspiciatis fugit placeat earum.,5,367.77,Marca D,992,2024-10-14
43497,Sequi,Eaque ipsum nostrum soluta ipsum.,3,635.49,Marca A,904,2022-11-28
25454,Cupiditate,Harum maiores blanditiis minus dolor.,7,166.07,Marca A,332,2021-10-08
83127,Doloremque,Maxime aliquid commodi corporis.,5,19.89,Marca A,85,2024-02-03
30588,Non,Mollitia eos veniam dignissimos sint veritatis.,5,615.87,Marca D,393,2021-03-30
19771,Quis,Ipsam in modi sunt dicta voluptatem ducimus.,7,832.78,Marca C,14,2020-09-30
27681,Ea,In similique officiis modi earum hic.,7,890.78,Marca C,603,2023-08-03
36324,Facilis,Dolores rem possimus ipsum consequatur.,2,543.42,Marca C,880,2022-09-19
3343,Vel,Occaecati totam suscipit accusamus ducimus.,1,910.79,Marca B,275,2023-07-21
16979,Modi,Impedit cupiditate voluptatem error.,5,61.89,Marca A,28,2023-12-28
85939,Corrupti,Dolor ducimus voluptas omnis totam.,1,125.51,Marca A,364,2021-05-13
5375,Tempora,Dolores laboriosam ut cumque exercitationem tempore quam.,3,374.97,Marca A,291,2020-11-28
52640,Totam,Incidunt pariatur esse placeat voluptate deserunt.,3,938.21,Marca D,726,2020-08-08
21914,Eos,Beatae molestiae odit sed sequi aut quos recusandae.,7,232.47,Marca A,549,2023-05-23
95974,Excepturi,Tempore reiciendis id quam.,6,501.27,Marca B,325,2023-06-30
22138,Fugiat,Dolor esse eius mollitia porro quo.,6,952.75,Marca B,356,2022-04-19
54298,Perspiciatis,Labore possimus ipsa repellat.,6,610.36,Marca C,203,2020-02-20
63217,Hic,Officia exercitationem quibusdam sequi nesciunt omnis eos.,7,988.08,Marca B,13,2021-05-05
40739,Eum,Voluptas laudantium itaque suscipit consectetur magnam excepturi.,3,17.33,Marca D,842,2021-02-18
91654,Dolorum,Non totam nostrum beatae voluptatum eos officia.,6,995.29,Marca C,990,2023-09-08
19405,Vitae,Debitis quibusdam impedit nostrum.,1,642.21,Marca C,628,2022-12-07
74408,Nostrum,Architecto nulla enim quia.,3,109.93,Marca B,895,2020-04-21
77329,Tempora,Neque alias minima ipsam.,6,412.52,Marca C,385,2023-07-16
23348,Quis,Quam fugit ipsa explicabo rem voluptates.,1,160.67,Marca A,722,2020-03-28
72153,Recusandae,Ab neque sunt optio voluptatem.,2,420.11,Marca C,487,2020-04-26
76804,Earum,Corrupti asperiores delectus nisi praesentium tenetur.,6,399.41,Marca D,713,2022-01-13
72667,Molestiae,Numquam at eaque atque illum repellendus qui.,7,799.57,Marca C,729,2024-06-20
78586,Dicta,Omnis delectus vero illum non.,2,193.66,Marca D,833,2023-05-06
11425,Tempore,Quas rem perferendis quia aperiam modi sed.,1,406.61,Marca B,163,2022-12-01
91790,Aperiam,Eos minima dolorum consequuntur.,2,161.46,Marca B,929,2022-01-09
57390,Sed,Minus nihil id facere expedita doloremque.,7,432.24,Marca D,403,2024-01-21
73879,Possimus,Ab porro eos excepturi assumenda rerum.,3,800.35,Marca B,113,2021-06-15
36761,Consequuntur,Numquam illo velit ab quia.,4,266.59,Marca D,160,2021-01-26
75959,Perspiciatis,Accusantium a fuga nulla corrupti nam adipisci nisi.,1,943.83,Marca B,111,2022-05-25
12484,Fugit,Rem molestiae dolores doloremque debitis maxime.,3,266.22,Marca C,30,2023-09-19
95075,Dolorum,Maxime dolorum quo.,2,73.29,Marca D,611,2022-01-12
41254,Amet,Ut sequi blanditiis dolores.,7,973.41,Marca D,709,2024-05-16
9123,Debitis,Quod vero nostrum fuga suscipit.,2,185.82,Marca C,936,2021-12-01
16655,Possimus,Consequatur facilis temporibus aspernatur velit expedita.,4,782.45,Marca A,872,2022-02-09
56470,Quos,Voluptas nostrum quo veritatis atque.,5,354.15,Marca A,382,2021-07-16
313,Neque,Excepturi nam at velit veritatis nihil maiores.,2,704.63,Marca B,436,2020-06-01
82259,Distinctio,Rem consequatur cupiditate iusto repudiandae quisquam.,1,287.53,Marca B,473,2020-03-25
83043,Magni,Voluptas fuga maxime vero consequuntur nobis.,1,741.88,Marca A,254,2021-05-13
34973,Enim,Similique eaque alias non accusamus tenetur temporibus.,2,834.31,Marca D,539,2022-10-18
39359,Ratione,Autem soluta eveniet rem saepe eum voluptatem.,3,388.91,Marca B,305,2021-04-22
3813,Voluptatem,Minus aliquam modi.,1,518.07,Marca A,532,2020-11-12
21710,Quam,Vel praesentium est reprehenderit consequuntur sunt facere praesentium.,5,78.14,Marca B,714,2022-02-04
69507,Quasi,Saepe deleniti culpa repellat rem animi neque quibusdam.,5,523.2,Marca B,256,2022-06-23
6620,Saepe,Ad tempore velit error praesentium laudantium libero.,6,500.66,Marca A,760,2023-11-06
14977,Dolore,Natus asperiores adipisci sequi illo culpa.,5,881.75,Marca B,373,2020-07-19
36936,Unde,Optio deserunt eum molestiae minima occaecati.,6,722.15,Marca D,342,2024-09-02
5292,Delectus,Nostrum velit excepturi.,2,534.6,Marca C,844,2024-08-01
63459,Quia,Nisi sequi nemo est deleniti vel recusandae.,1,872.18,Marca A,354,2022-06-07
78488,Totam,Iure id non rerum nostrum corrupti minus.,4,990.12,Marca B,735,2023-04-26
29288,Consequatur,Suscipit eum blanditiis itaque veniam.,4,466.59,Marca B,640,2023-05-05
73086,Magnam,Minima cumque modi quis cum laudantium vitae.,2,521.84,Marca C,733,2023-09-16
69952,Voluptates,Necessitatibus totam iusto architecto.,1,949.26,Marca D,615,2022-12-01
33949,Autem,Quia aliquid beatae unde distinctio aperiam expedita.,1,427.63,Marca D,564,2023-02-06
49402,Ea,Amet quibusdam iure nulla similique autem id.,1,270.37,Marca B,269,2020-10-06
46067,Omnis,Amet sunt reiciendis perferendis modi quasi sint nam.,5,993.13,Marca B,37,2020-08-11
38229,Nesciunt,Dignissimos dolore consequatur nemo.,1,830.19,Marca C,966,2021-10-22
28913,Nisi,Aut nesciunt quis iusto.,2,763.93,Marca B,262,2021-11-01
96767,Esse,Architecto reiciendis eveniet.,7,881.11,Marca C,375,2021-05-04
62063,Dolores,Soluta voluptate iste nihil.,1,828.14,Marca A,90,2020-06-08
60074,Quod,Nesciunt eligendi laborum ex neque enim adipisci inventore.,2,417.56,Marca D,511,2024-03-12
88564,Veniam,Qui dolores officia facilis ea maxime molestiae.,3,348.6,Marca C,88,2022-08-19
35659,Totam,Modi placeat tempore unde fugiat quia libero.,7,338.18,Marca A,363,2023-03-26
97535,Quisquam,Dolorem aut cupiditate voluptatibus.,3,106.17,Marca C,331,2020-06-03
93368,Deserunt,Possimus esse illo.,7,907.46,Marca D,588,2023-11-06
88768,Reiciendis,Ipsum recusandae illo ad non.,3,414.44,Marca D,96,2024-09-02
88331,Quas,Laboriosam molestiae enim doloremque.,6,858.17,Marca B,657,2024-09-02
44419,Quidem,Accusantium dolorum aliquam inventore molestiae iure nemo.,2,293.78,Marca B,334,2024-08-21
38183,Magnam,Animi nesciunt quae.,2,715.12,Marca C,303,2020-05-08
46112,Perferendis,Mollitia voluptates nihil praesentium.,6,739.99,Marca D,111,2024-09-08
96109,Animi,Explicabo deleniti exercitationem.,7,699.04,Marca A,805,2022-11-26
51681,Voluptates,Impedit eaque temporibus aspernatur.,5,404.05,Marca D,547,2024-08-19
58406,Voluptatibus,Doloribus accusamus iste.,1,244.17,Marca A,303,2022-02-05
58354,Nostrum,Rem ullam recusandae itaque sunt.,4,785.43,Marca D,369,2020-09-17
74276,Rerum,Qui quos animi laborum animi.,5,403.16,Marca D,673,2020-12-28
74481,Quibusdam,Ut dolor hic quo possimus ea doloribus.,4,889.26,Marca C,2,2022-02-08
21172,Odio,Enim saepe ipsum officia.,1,81.48,Marca A,415,2020-03-13
88194,Ipsum,Fugiat eveniet sed qui.,1,309.2,Marca B,693,2023-11-26
17678,Distinctio,Corrupti adipisci nam ducimus.,3,722.47,Marca A,401,2023-09-23
81532,Voluptatibus,Repudiandae non aspernatur numquam.,5,771.02,Marca A,700,2023-12-02
74980,Voluptatum,Fugit voluptas modi voluptates dicta dignissimos.,3,768.86,Marca A,510,2022-09-02
78600,Vero,Repudiandae optio reprehenderit.,3,633.71,Marca D,435,2024-03-29
14279,Optio,Ipsam natus nobis harum.,6,132.89,Marca A,298,2022-09-29
16514,Maiores,Iste sint reiciendis molestiae aliquam consectetur.,2,557.34,Marca A,453,2021-02-28
47925,Beatae,Error reprehenderit a consectetur dolores quia nihil.,2,229.67,Marca A,157,2023-05-07
58980,Recusandae,Pariatur reiciendis accusantium occaecati dolore.,2,936.24,Marca C,657,2023-05-27
39924,Repellendus,Quia eaque quam beatae qui.,2,759.07,Marca D,252,2023-12-10
99385,Inventore,Voluptatibus natus expedita dolores eum eaque unde.,7,210.05,Marca D,301,2022-04-07
17107,Dolore,Dolorem quos facilis qui.,6,287.58,Marca A,275,2023-02-25
6780,Doloribus,Dolore ipsum corrupti sunt architecto dolore.,3,186.41,Marca B,492,2023-12-11
77935,Minus,Modi nobis nobis tempore.,2,908.29,Marca D,967,2022-10-01
31579,Ullam,Illum illum molestiae.,1,12.65,Marca A,443,2023-06-02
46010,Dolor,Porro quos repellendus harum eligendi fugit.,1,614.47,Marca C,409,2022-08-01
86379,Consequatur,Id qui exercitationem ducimus animi quidem.,5,761.11,Marca D,919,2022-10-09
43806,Eaque,Cumque numquam unde ipsum tenetur optio impedit.,6,864.54,Marca D,682,2020-10-25
57374,Adipisci,Dolore inventore porro voluptatibus facere.,2,698.48,Marca D,356,2020-08-10
57270,Eius,Cum maiores repellat dicta.,7,73.99,Marca D,489,2021-05-17
55925,Eveniet,Perferendis ratione eaque cumque ratione.,4,769.59,Marca B,340,2023-05-11
19695,Culpa,Ut occaecati porro eveniet.,6,27.26,Marca A,22,2023-08-19
29884,Aut,Quaerat ut molestiae praesentium recusandae aperiam.,2,813.4,Marca B,496,2022-06-23
52779,Animi,Ut voluptatem molestias atque tenetur.,5,463.67,Marca B,686,2020-09-15
69180,Id,Nemo dignissimos voluptas quidem corrupti delectus.,6,417.38,Marca B,67,2023-11-23
10847,Cum,Nobis architecto nesciunt est voluptatem.,4,527.46,Marca A,787,2020-10-08
21130,Est,Beatae animi enim voluptates culpa.,1,306.91,Marca A,7,2023-12-06
49423,Error,Error quas occaecati.,5,167.62,Marca A,335,2021-08-12
49328,Et,Illo placeat reiciendis perspiciatis consequatur sit.,7,802.81,Marca B,690,2020-03-07
36605,Error,Labore unde aliquam debitis laudantium.,4,478.08,Marca B,787,2020-05-27
25002,Assumenda,Doloremque ad repellendus officia suscipit id.,1,847.93,Marca A,875,2022-08-05
33124,Cupiditate,Repellendus quos saepe quidem aut iure possimus.,2,710.84,Marca C,941,2022-06-20
3171,Ex,Dolorum facere explicabo.,5,609.79,Marca A,805,2024-06-09
96027,Aut,Odit tempora numquam temporibus molestiae unde.,5,10.91,Marca A,868,2024-05-10
37364,Quam,Ea ex ipsa eveniet quidem dolor porro.,7,198.28,Marca D,60,2022-10-22
54178,Quae,Ab sit praesentium expedita sit totam.,2,994.59,Marca A,334,2020-10-04
85526,Nesciunt,Ab deserunt fugit.,2,680.79,Marca B,225,2023-07-28
97405,Illo,Repellendus impedit doloribus esse.,2,361.79,Marca D,233,2022-07-12
49663,Neque,Sit dolor libero dolorum quas.,2,160.33,Marca B,941,2023-01-26
36327,Perferendis,Quidem quasi inventore optio blanditiis repudiandae quidem.,3,57.88,Marca B,252,2020-06-03
8001,Veniam,Repudiandae iste necessitatibus sequi nemo alias aperiam.,1,448.16,Marca B,257,2022-12-12
18248,Laudantium,Error maiores maxime hic libero facere.,5,69.35,Marca B,555,2021-05-17
75985,Provident,Facere officiis cupiditate nemo reprehenderit eius.,1,315.18,Marca C,82,2023-10-11
48214,Fuga,Fuga eum alias.,4,11.35,Marca B,550,2020-04-18
92226,Fugit,Nisi sed expedita vero ducimus similique.,2,544.96,Marca D,690,2020-03-23
1015,Magni,Repudiandae placeat deserunt at.,5,711.55,Marca A,400,2020-11-09
26117,Quis,Magnam cum placeat voluptatibus rerum pariatur.,2,922.1,Marca D,293,2024-04-30
52601,Blanditiis,Eos dicta nemo.,2,468.45,Marca C,370,2021-01-18
87784,Odit,Suscipit soluta perspiciatis quos molestias atque.,7,205.53,Marca A,609,2020-09-10
53403,Iure,Dignissimos libero consequatur est id vero omnis aliquam.,7,872.54,Marca C,282,2020-09-13
52304,Ea,Numquam amet ab corrupti accusantium deserunt.,3,111.97,Marca A,642,2023-10-29
97162,Commodi,Delectus et repellendus sunt deserunt sequi.,4,180.6,Marca A,311,2023-10-31
36329,Voluptatibus,Ducimus fugiat doloremque quod.,6,310.29,Marca A,704,2022-06-15
7551,Ullam,Consequatur voluptas ullam nesciunt distinctio.,3,719.38,Marca C,579,2022-10-09
65028,Quas,Non autem vel neque in voluptates maiores.,6,677.62,Marca C,659,2023-01-25
35404,Vero,Adipisci rerum nam soluta debitis commodi rerum.,6,806.95,Marca D,438,2021-11-22
63100,Ipsam,Quibusdam cupiditate assumenda totam ratione nostrum.,6,324.64,Marca B,465,2022-07-18
94086,Est,Perferendis dolorum repudiandae doloremque rem nisi.,2,533.31,Marca A,638,2021-04-06
97926,Repellat,Eligendi voluptatem reiciendis harum.,7,248.48,Marca B,932,2020-03-09
65060,Omnis,Ratione saepe officiis quas.,3,422.61,Marca A,708,2024-08-09
89029,Officia,Quas magnam dolor numquam voluptatibus earum.,5,397.16,Marca D,805,2021-12-25
90156,Voluptate,Perspiciatis maxime recusandae occaecati debitis sed.,3,799.48,Marca B,423,2021-09-15
49928,A,Ea doloribus doloribus corrupti voluptate aperiam quaerat.,3,649.83,Marca B,169,2021-04-14
25971,Libero,Occaecati dolorem iure reiciendis.,7,549.46,Marca A,156,2022-04-10
61229,Exercitationem,Praesentium possimus quaerat expedita nostrum veritatis totam.,6,329.8,Marca D,991,2024-07-02
39250,Autem,Delectus hic ea voluptas corporis accusamus modi.,2,299.64,Marca B,587,2020-01-31
78387,Saepe,Quasi neque necessitatibus nemo cupiditate voluptate optio.,3,493.31,Marca C,414,2020-02-03
86487,Veritatis,Voluptates laboriosam optio voluptates architecto sunt.,1,857.42,Marca C,527,2020-03-21
16703,Culpa,Incidunt cupiditate sit repudiandae vero quod beatae.,6,839.54,Marca B,704,2020-07-31
64156,Itaque,Neque repellendus quam necessitatibus ducimus.,6,413.18,Marca B,759,2021-05-08
40989,Cupiditate,Doloribus suscipit assumenda inventore illo ut.,1,160.98,Marca C,396,2020-08-12
31672,Reprehenderit,Incidunt iste voluptatum aliquid.,4,832.91,Marca B,579,2023-01-03
64875,Neque,Distinctio neque officia magnam expedita facilis.,7,405.58,Marca C,991,2022-11-03
93223,Atque,Error voluptatum perferendis culpa minima aliquid iusto.,3,525.66,Marca D,799,2024-06-23
4260,Ex,Suscipit corporis nihil maiores dolorum.,7,538.77,Marca D,911,2024-01-25
143,Nobis,Magni recusandae enim accusantium numquam.,1,494.61,Marca C,279,2020-12-08
58617,Officiis,Maiores ipsum repellat.,7,148.53,Marca C,781,2023-12-17
21799,Dolorum,Optio adipisci asperiores aspernatur velit numquam.,2,905.86,Marca D,397,2023-06-06
38746,Labore,Provident ducimus itaque hic dolor.,5,530.48,Marca A,485,2021-12-19
29135,Officia,Molestiae aperiam vero facilis maiores.,1,428.74,Marca D,941,2022-08-24
84559,Vel,Incidunt sequi placeat officiis eaque.,7,986.23,Marca D,53,2021-01-22
17724,Eum,Odit fugit doloremque vel magni consectetur.,4,143.58,Marca D,116,2020-03-10
70015,Adipisci,Eos omnis doloribus magnam.,1,164.42,Marca B,543,2023-06-24
68299,Repellat,Iste veritatis ratione rem.,6,144.06,Marca B,785,2022-07-25
55031,Tempora,Enim corrupti saepe nemo alias laboriosam.,5,943.11,Marca D,976,2022-03-30
86218,Vel,Explicabo ut excepturi doloremque error reiciendis modi quia.,7,189.9,Marca C,133,2022-02-03
6844,Nulla,Quasi nobis corporis maiores.,5,336.33,Marca C,827,2024-02-18
54473,Labore,Hic quas voluptate cumque.,4,904.86,Marca C,256,2023-05-03
37406,Neque,Doloribus eum suscipit nam.,6,943.33,Marca A,390,2020-06-27
30838,Eum,Harum esse quod odio.,3,328.21,Marca A,286,2022-09-24
98767,Neque,Voluptate dolor atque eum ipsum neque.,4,175.6,Marca A,307,2022-04-23
24349,Placeat,Tenetur officiis occaecati.,6,487.64,Marca D,323,2021-07-15
63096,Incidunt,Reprehenderit iste culpa placeat.,6,173.89,Marca D,746,2022-12-15
96714,Voluptatibus,Pariatur iusto officiis quidem.,3,743.96,Marca C,594,2024-09-23
14028,Sed,Repellendus reiciendis culpa consequuntur dolore voluptas consequuntur.,1,442.53,Marca D,811,2023-02-12
93421,Veritatis,Incidunt nihil expedita modi delectus harum sapiente.,7,81.09,Marca D,722,2023-12-22
44752,Ullam,Consequatur nihil soluta qui nemo iusto.,6,785.85,Marca B,704,2023-10-27
709,Necessitatibus,Cumque quam sunt inventore excepturi.,2,146.02,Marca D,682,2021-09-07
72643,Porro,Debitis ea voluptate alias explicabo qui.,5,802.32,Marca A,281,2020-02-24
48005,Rem,Unde facilis dolor pariatur sequi vero aspernatur.,6,555.96,Marca A,962,2024-02-28
92075,Praesentium,Labore vitae iure omnis aliquid.,5,84.56,Marca C,203,2024-07-12
32963,Aut,Vero asperiores fugit laboriosam sequi.,6,560.47,Marca D,488,2020-05-31
79860,Quae,Quo maxime in consequuntur quasi dolores rerum.,2,834.1,Marca A,723,2022-03-11
12102,Dolor,Nobis ab quibusdam dolor consectetur.,1,760.84,Marca B,215,2022-04-28
80010,Vero,Aspernatur deserunt deserunt aliquam praesentium eos aliquam maiores.,4,456.07,Marca D,914,2024-05-07
66135,Rerum,Esse esse sed autem dolor neque ea.,3,803.8,Marca D,939,2022-03-07
33146,Voluptates,Optio beatae est voluptatibus rem quis voluptatum.,1,436.94,Marca B,802,2022-08-22
12015,Doloribus,Explicabo eligendi deserunt.,5,844.78,Marca A,439,2020-03-10
2976,Officiis,Aperiam aliquam sequi cupiditate nihil quisquam numquam.,7,24.6,Marca D,1,2022-03-17
42485,Assumenda,Ea qui ullam consequuntur quisquam blanditiis molestiae iure.,1,557.71,Marca D,622,2022-11-24
96223,Earum,Maxime maxime nam laudantium a.,2,172.22,Marca A,369,2022-03-30
1852,Corporis,Minus laborum maxime aut.,4,523.83,Marca B,440,2022-05-03
24755,Dolore,Architecto amet aspernatur.,6,734.13,Marca D,961,2023-04-23
59982,Veniam,Earum odit aperiam illo suscipit.,4,106.65,Marca D,891,2022-04-09
78767,Animi,Rem saepe nisi provident optio.,1,722.03,Marca D,817,2024-06-24
53960,Itaque,Perspiciatis fuga fugit est quam totam eos.,5,739.12,Marca C,709,2020-01-28
71714,Alias,Corrupti voluptate aperiam mollitia necessitatibus eum explicabo.,7,250.59,Marca C,781,2022-10-10
14971,Dolorum,Hic velit repudiandae repudiandae voluptate nam officiis.,2,200.41,Marca C,564,2022-04-28
58149,Exercitationem,Repellat nesciunt quaerat iste architecto labore blanditiis pariatur.,2,941.45,Marca B,803,2021-05-23
7526,Alias,Voluptates quod debitis et.,2,37.8,Marca B,671,2021-09-03
96130,At,Excepturi iste quibusdam magnam vero.,2,850.61,Marca B,619,2023-07-30
98237,Deserunt,Natus nihil eos perspiciatis eaque error quas quasi.,2,435.8,Marca D,893,2024-05-27
19680,Odio,Accusantium iusto quisquam repudiandae.,4,44.96,Marca A,0,2021-12-13
39955,Vel,Illum quibusdam illum ducimus et.,2,83.25,Marca C,328,2021-02-21
11011,Ex,Ducimus eveniet molestias eaque harum iusto.,1,624.91,Marca B,535,2024-08-23
59221,At,Minima ea error qui vel nesciunt.,2,610.81,Marca A,568,2020-03-01
72224,Beatae,Facilis voluptate debitis.,5,199.44,Marca B,951,2024-07-03
71683,Similique,Impedit quos repudiandae delectus iure.,4,30.92,Marca D,269,2020-05-20
80601,Beatae,Ex tempora explicabo ullam laudantium animi quae.,5,626.37,Marca B,651,2021-06-21
47047,Vel,Est nam eius earum.,1,185.96,Marca B,191,2022-02-19
52441,Dolorum,Cupiditate suscipit facilis iure.,4,582.44,Marca A,782,2020-02-23
17720,Totam,Praesentium repudiandae vel consequuntur nobis.,1,347.92,Marca B,586,2022-12-27
56655,Ducimus,Molestias totam dicta quisquam reiciendis consequuntur aut occaecati.,3,481.21,Marca D,341,2023-10-14
12545,Explicabo,Ullam ea nesciunt nesciunt vel sequi porro id.,4,129.6,Marca D,773,2021-09-05
62196,Excepturi,Eligendi voluptas suscipit est earum.,7,598.61,Marca D,813,2020-03-20
37373,Quod,Necessitatibus odit consequuntur sint corporis.,2,340.97,Marca C,124,2021-10-12
84409,Rem,Ducimus perspiciatis natus quas optio maxime.,5,378.97,Marca B,962,2023-03-21
50092,Veritatis,Reprehenderit qui iure.,6,750.52,Marca C,247,2023-03-26
8188,Saepe,Beatae numquam consequuntur eius.,7,904.75,Marca A,37,2021-11-24
9808,Velit,Suscipit neque eveniet.,6,897.18,Marca B,566,2024-10-10
7450,Similique,Maxime incidunt itaque occaecati aliquam laudantium.,4,404.86,Marca B,177,2020-01-15
56109,Fuga,Quidem sit incidunt eius dolores dolorum.,1,234.76,Marca C,5,2021-05-06
86768,Recusandae,Dolorum voluptas voluptatum quod explicabo aliquam cumque.,6,642.97,Marca D,368,2021-12-29
35117,Modi,Repellendus soluta laborum.,6,362.24,Marca D,567,2024-03-25
64591,Perferendis,Quo possimus reprehenderit repellat accusamus.,4,779.3,Marca B,898,2021-09-17
20529,Ipsum,Quas ea architecto hic.,5,79.52,Marca B,108,2024-01-01
47814,Eaque,Quam quasi corrupti delectus odit temporibus sit cumque.,7,149.73,Marca A,323,2022-03-30
26503,Odio,Velit non eum earum.,7,113.07,Marca A,18,2020-07-17
10931,Deserunt,Aliquam excepturi cumque.,7,331.83,Marca C,963,2023-01-23
87394,Nemo,Quo occaecati accusamus quas.,1,701.27,Marca B,650,2023-06-30
81929,Odit,Dicta labore praesentium iste cum animi quos.,2,542.12,Marca D,367,2020-11-04
32891,Ipsa,Veritatis soluta corporis provident.,7,654.47,Marca A,421,2023-08-23
53537,Ullam,Reprehenderit minus sequi molestiae reiciendis non.,2,227.15,Marca A,286,2022-02-08
41550,Nemo,Possimus veritatis quisquam excepturi quae consequatur tempora earum.,1,91.44,Marca D,424,2021-03-23
89808,Ipsum,Sit eius commodi ipsam consequuntur eum.,7,970.56,Marca B,16,2023-10-28
62274,Laudantium,Consequatur neque cum ratione magnam.,3,371.99,Marca D,623,2021-03-19
75775,Aspernatur,Voluptates sunt unde.,4,577.35,Marca A,674,2022-07-15
